Date,EAFE Standard Core
09/22/03,1129.51
09/23/03,1128.21
09/24/03,1128.90
09/25/03,1119.12
09/26/03,1110.24
09/29/03,1108.91
09/30/03,1103.39
10/01/03,1124.33
10/02/03,1135.20
10/03/03,1153.01
10/06/03,1153.69
10/07/03,1159.58
10/08/03,1155.17
10/09/03,1166.92
10/10/03,1174.00
10/13/03,1178.55
10/14/03,1179.34
10/15/03,1180.71
10/16/03,1185.84
10/17/03,1180.33
10/20/03,1183.43
10/21/03,1186.02
10/22/03,1176.03
10/23/03,1152.50
10/24/03,1156.66
10/27/03,1164.40
10/28/03,1170.70
10/29/03,1178.40
10/30/03,1182.36
10/31/03,1171.47
11/03/03,1170.87
11/04/03,1180.82
11/05/03,1173.15
11/06/03,1165.06
11/07/03,1180.32
11/10/03,1176.18
11/11/03,1164.58
11/12/03,1174.33
11/13/03,1187.48
11/14/03,1191.82
11/17/03,1166.33
11/18/03,1176.50
11/19/03,1165.68
11/20/03,1169.11
11/21/03,1172.30
11/24/03,1175.77
11/25/03,1180.60
11/26/03,1191.86
11/27/03,1194.79
11/28/03,1195.82
12/01/03,1213.47
12/02/03,1220.87
12/03/03,1227.50
12/04/03,1225.48
12/05/03,1224.66
12/08/03,1221.10
12/09/03,1226.66
12/10/03,1215.94
12/11/03,1216.93
12/12/03,1228.71
12/15/03,1240.05
12/16/03,1232.68
12/17/03,1233.41
12/18/03,1240.16
12/19/03,1245.20
12/22/03,1250.02
12/23/03,1255.00
12/24/03,1259.53
12/25/03,1259.66
12/26/03,1261.16
12/29/03,1268.84
12/30/03,1281.27
12/31/03,1288.77
01/01/04,1288.77
01/02/04,1297.73
01/05/04,1316.36
01/06/04,1321.67
01/07/04,1311.73
01/08/04,1324.47
01/09/04,1331.31
01/12/04,1326.74
01/13/04,1325.91
01/14/04,1328.12
01/15/04,1317.47
01/16/04,1313.09
01/19/04,1315.82
01/20/04,1328.47
01/21/04,1338.01
01/22/04,1347.29
01/23/04,1345.42
01/26/04,1331.10
01/27/04,1336.02
01/28/04,1336.71
01/29/04,1308.19
01/30/04,1306.43
02/02/04,1309.74
02/03/04,1315.23
02/04/04,1303.21
02/05/04,1309.36
02/06/04,1324.67
02/09/04,1333.89
02/10/04,1336.02
02/11/04,1336.81
02/12/04,1350.33
02/13/04,1348.82
02/16/04,1351.51
02/17/04,1365.62
02/18/04,1363.71
02/19/04,1363.95
02/20/04,1344.69
02/23/04,1348.44
02/24/04,1342.47
02/25/04,1334.93
02/26/04,1327.78
02/27/04,1334.96
03/01/04,1354.47
03/02/04,1347.40
03/03/04,1329.03
03/04/04,1337.24
03/05/04,1355.63
03/08/04,1351.64
03/09/04,1349.40
03/10/04,1328.90
03/11/04,1301.96
03/12/04,1295.40
03/15/04,1286.25
03/16/04,1303.66
03/17/04,1313.29
03/18/04,1319.31
03/19/04,1317.82
03/22/04,1300.08
03/23/04,1298.14
03/24/04,1294.96
03/25/04,1307.52
03/26/04,1309.02
03/29/04,1323.70
03/30/04,1325.62
03/31/04,1337.07
04/01/04,1354.30
04/02/04,1353.14
04/05/04,1350.32
04/06/04,1350.71
04/07/04,1360.32
04/08/04,1357.85
04/09/04,1353.16
04/12/04,1355.59
04/13/04,1348.30
04/14/04,1327.93
04/15/04,1321.85
04/16/04,1336.27
04/19/04,1334.68
04/20/04,1338.66
04/21/04,1322.12
04/22/04,1325.42
04/23/04,1330.72
04/26/04,1337.54
04/27/04,1335.84
04/28/04,1316.77
04/29/04,1314.24
04/30/04,1302.92
05/03/04,1304.86
05/04/04,1321.48
05/05/04,1332.66
05/06/04,1308.30
05/07/04,1284.35
05/10/04,1235.12
05/11/04,1241.95
05/12/04,1249.57
05/13/04,1243.61
05/14/04,1238.04
05/17/04,1226.65
05/18/04,1235.75
05/19/04,1268.70
05/20/04,1251.66
05/21/04,1267.28
05/24/04,1267.83
05/25/04,1270.51
05/26/04,1282.89
05/27/04,1304.66
05/28/04,1300.45
05/31/04,1302.04
06/01/04,1298.52
06/02/04,1302.62
06/03/04,1295.32
06/04/04,1302.35
06/07/04,1327.90
06/08/04,1328.70
06/09/04,1314.24
06/10/04,1318.36
06/11/04,1308.10
06/14/04,1297.27
06/15/04,1303.69
06/16/04,1312.65
06/17/04,1316.51
06/18/04,1322.10
06/21/04,1324.24
06/22/04,1311.85
06/23/04,1315.15
06/24/04,1334.85
06/25/04,1330.59
06/28/04,1343.62
06/29/04,1331.42
06/30/04,1327.98
07/01/04,1327.71
07/02/04,1328.19
07/05/04,1319.41
07/06/04,1314.23
07/07/04,1320.15
07/08/04,1323.25
07/09/04,1326.00
07/12/04,1327.80
07/13/04,1321.43
07/14/04,1319.69
07/15/04,1308.20
07/16/04,1318.89
07/19/04,1314.25
07/20/04,1308.46
