Date,Open,High,Low,Close,Volume,Adj Close
2005-11-09,3520.83,3550.56,3518.07,3538.59,2905800,3538.59
2005-11-08,3532.61,3532.61,3511.37,3521.28,2441200,3521.28
2005-11-07,3510.47,3535.74,3510.47,3535.23,2912800,3535.23
2005-11-04,3523.17,3531.77,3495.96,3510.83,000,3510.83
2005-11-03,3498.68,3540.38,3498.68,3522.98,000,3522.98
2005-11-02,3459.93,3500.38,3457.81,3500.09,000,3500.09
2005-11-01,3479.05,3480.13,3459.01,3460.16,000,3460.16
2005-10-31,3442.63,3490.04,3442.60,3479.18,000,3479.18
2005-10-28,3379.34,3442.57,3379.34,3442.57,000,3442.57
2005-10-27,3424.09,3424.53,3379.15,3379.15,000,3379.15
2005-10-26,3439.98,3458.61,3422.99,3424.12,000,3424.12
2005-10-25,3437.42,3464.23,3417.05,3440.05,000,3440.05
2005-10-24,3361.98,3437.72,3361.98,3437.59,000,3437.59
2005-10-21,3361.10,3382.91,3350.70,3361.84,000,3361.84
2005-10-20,3407.20,3419.33,3346.66,3360.93,000,3360.93
2005-10-19,3372.41,3407.58,3347.17,3407.57,000,3407.57
2005-10-18,3415.54,3415.67,3373.52,3373.66,000,3373.66
2005-10-17,3391.79,3417.99,3388.43,3415.38,000,3415.38
2005-10-14,3357.09,3392.89,3352.83,3391.77,000,3391.77
2005-10-13,3389.64,3389.90,3331.79,3357.09,000,3357.09
2005-10-12,3428.58,3443.50,3374.44,3389.64,000,3389.64
2005-10-11,3415.62,3445.93,3415.62,3434.60,000,3434.60
2005-10-10,3442.74,3447.76,3410.40,3415.56,000,3415.56
2005-10-07,3423.61,3452.10,3423.61,3442.64,000,3442.64
2005-10-06,3433.08,3457.65,3390.53,3423.56,000,3423.56
2005-10-05,3499.56,3499.69,3432.89,3433.08,000,3433.08
2005-10-04,3542.70,3553.66,3498.81,3500.52,000,3500.52
2005-10-03,3538.99,3553.99,3532.11,3542.87,000,3542.87
2005-09-30,3531.18,3540.48,3526.22,3538.87,000,3538.87
2005-09-29,3492.94,3531.59,3474.91,3527.98,000,3527.98
2005-09-28,3470.81,3498.23,3470.81,3493.38,000,3493.38
2005-09-27,3465.43,3480.64,3452.94,3471.05,000,3471.05
2005-09-26,3456.47,3488.50,3456.47,3465.29,000,3465.29
2005-09-23,3451.63,3463.24,3431.28,3456.37,000,3456.37
2005-09-22,3447.34,3456.49,3428.08,3451.66,000,3451.66
2005-09-21,3470.02,3482.32,3445.43,3447.62,000,3447.62
2005-09-20,3488.98,3508.85,3468.04,3469.60,000,3469.60
2005-09-19,3512.33,3512.38,3478.82,3488.89,000,3488.89
2005-09-16,3479.94,3512.91,3479.87,3512.34,000,3512.34
2005-09-15,3465.70,3480.35,3463.82,3479.67,000,3479.67
2005-09-14,3470.44,3483.92,3462.83,3465.55,000,3465.55
2005-09-13,3504.39,3504.58,3470.41,3470.43,000,3470.43
2005-09-12,3499.07,3511.76,3493.14,3506.09,000,3506.09
2005-09-09,3483.80,3503.13,3474.75,3499.47,000,3499.47
2005-09-08,3507.31,3507.34,3476.35,3484.08,000,3484.08
2005-09-07,3500.57,3508.35,3490.23,3507.81,000,3507.81
2005-09-06,3457.02,3501.90,3457.02,3500.85,000,3500.85
2005-09-02,3468.70,3481.19,3457.67,3457.67,000,3457.67
2005-09-01,3457.18,3475.16,3443.10,3468.54,000,3468.54
2005-08-31,3427.75,3457.31,3411.42,3457.21,3379100,3457.21
2005-08-30,3446.14,3446.62,3407.09,3429.04,000,3429.04
2005-08-29,3425.14,3450.67,3406.64,3446.38,000,3446.38
2005-08-26,3445.79,3446.09,3419.28,3425.20,000,3425.20
2005-08-25,3425.81,3449.18,3425.72,3445.74,000,3445.74
2005-08-24,3439.93,3467.63,3424.40,3425.84,000,3425.84
2005-08-23,3461.64,3464.48,3437.94,3450.84,000,3450.84
2005-08-22,3453.87,3480.75,3447.31,3461.59,000,3461.59
2005-08-19,3444.40,3466.72,3444.15,3453.78,000,3453.78
2005-08-18,3445.84,3456.89,3428.04,3444.95,000,3444.95
2005-08-17,3435.48,3455.44,3420.73,3446.40,000,3446.40
2005-08-16,3482.03,3482.39,3435.77,3436.72,000,3436.72
2005-08-15,3470.31,3488.46,3455.43,3482.47,000,3482.47
2005-08-12,3490.57,3490.58,3455.04,3471.23,000,3471.23
2005-08-11,3463.04,3491.16,3462.53,3491.07,000,3491.07
2005-08-10,3462.65,3508.50,3453.50,3464.07,000,3464.07
2005-08-09,3440.43,3468.97,3440.43,3464.48,2564000,3464.48
2005-08-08,3459.35,3478.90,3437.49,3440.32,000,3440.32
2005-08-05,3491.11,3491.11,3457.90,3459.91,000,3459.91
2005-08-04,3519.71,3519.72,3488.97,3491.07,000,3491.07
2005-08-03,3514.76,3529.22,3501.13,3519.84,000,3519.84
2005-08-02,3483.99,3515.96,3482.03,3515.79,000,3515.79
2005-08-01,3494.32,3500.98,3478.45,3484.17,000,3484.17
2005-07-29,3508.77,3515.94,3491.88,3494.19,000,3494.19
2005-07-28,3475.52,3510.25,3475.52,3508.91,000,3508.91
2005-07-27,3458.50,3481.12,3458.32,3476.55,000,3476.55
2005-07-26,3458.42,3470.73,3455.88,3458.62,000,3458.62
2005-07-25,3481.43,3491.51,3456.68,3458.25,000,3458.25
2005-07-22,3468.75,3483.84,3460.25,3481.68,000,3481.68
2005-07-21,3491.03,3498.52,3455.44,3469.31,000,3469.31
2005-07-20,3441.27,3493.14,3435.30,3490.89,000,3490.89
2005-07-19,3428.42,3448.51,3428.42,3443.95,000,3443.95
2005-07-18,3443.33,3445.11,3428.12,3428.12,000,3428.12
2005-07-15,3445.83,3445.83,3430.02,3443.43,000,3443.43
2005-07-14,3429.09,3458.29,3428.68,3445.74,000,3445.74
2005-07-13,3417.30,3431.21,3416.14,3428.70,000,3428.70
2005-07-12,3421.38,3427.40,3405.26,3417.38,000,3417.38
2005-07-11,3393.54,3425.41,3393.19,3421.41,000,3421.41
2005-07-08,3343.76,3396.26,3339.73,3393.47,000,3393.47
2005-07-07,3332.28,3345.46,3299.47,3343.67,000,3343.67
2005-07-06,3365.43,3368.78,3332.40,3332.43,000,3332.43
2005-07-05,3348.37,3370.49,3332.38,3365.02,000,3365.02
2005-07-01,3330.77,3353.48,3330.49,3345.27,000,3345.27
2005-06-30,3351.33,3366.48,3328.51,3330.93,3528400,3330.93
2005-06-29,3348.83,3366.50,3347.77,3351.38,000,3351.38
2005-06-28,3299.78,3348.89,3299.70,3348.78,000,3348.78
2005-06-27,3302.70,3308.93,3289.72,3300.41,000,3300.41
2005-06-24,3340.26,3340.92,3301.00,3302.66,000,3302.66
2005-06-23,3393.21,3393.21,3339.65,3340.12,000,3340.12
2005-06-22,3389.19,3407.30,3384.31,3393.35,000,3393.35
2005-06-21,3391.49,3398.81,3384.10,3389.24,000,3389.24
2005-06-20,3396.70,3399.48,3376.02,3391.53,000,3391.53
2005-06-17,3374.43,3400.80,3374.41,3399.39,000,3399.39
2005-06-16,3363.37,3376.40,3357.59,3374.14,000,3374.14
2005-06-15,3359.34,3370.80,3341.35,3363.31,000,3363.31
2005-06-14,3356.14,3372.00,3353.81,3359.17,000,3359.17
2005-06-13,3349.86,3373.50,3338.01,3356.24,000,3356.24
2005-06-10,3347.92,3358.19,3336.64,3351.64,2565000,3351.64
2005-06-09,3344.63,3349.44,3324.82,3347.92,000,3347.92
2005-06-08,3364.51,3371.44,3341.49,3344.76,000,3344.76
2005-06-07,3365.46,3401.89,3364.71,3364.76,000,3364.76
2005-06-06,3362.61,3368.96,3353.31,3365.63,000,3365.63
2005-06-03,3382.55,3387.64,3355.47,3363.54,000,3363.54
2005-06-02,3377.97,3384.51,3369.32,3382.66,000,3382.66
2005-06-01,3348.05,3389.50,3347.19,3378.14,000,3378.14
2005-05-31,3367.29,3367.52,3348.45,3349.20,000,3349.20
2005-05-27,3366.56,3370.13,3356.68,3367.40,000,3367.40
2005-05-26,3342.65,3370.26,3342.64,3366.74,000,3366.74
2005-05-25,3359.66,3359.67,3331.83,3342.51,000,3342.51
2005-05-24,3361.58,3364.80,3340.14,3360.55,000,3360.55
2005-05-23,3355.09,3374.07,3352.08,3361.72,000,3361.72
2005-05-20,3357.80,3360.76,3343.93,3355.07,000,3355.07
2005-05-19,3346.96,3357.96,3336.65,3357.87,000,3357.87
2005-05-18,3295.33,3349.38,3295.33,3344.95,000,3344.95
2005-05-17,3263.49,3299.91,3250.64,3296.93,000,3296.93
2005-05-16,3224.07,3264.67,3223.96,3264.27,000,3264.27
2005-05-13,3257.00,3266.98,3196.37,3224.83,000,3224.83
2005-05-12,3306.85,3309.48,3252.48,3257.21,000,3257.21
2005-05-11,3289.99,3309.93,3270.79,3307.44,000,3307.44
2005-05-10,3329.40,3329.40,3282.85,3292.12,000,3292.12
2005-05-09,3311.21,3329.97,3301.15,3329.90,000,3329.90
2005-05-06,3311.54,3326.91,3307.42,3311.21,000,3311.21
2005-05-05,3322.51,3331.23,3294.56,3312.07,000,3312.07
2005-05-04,3284.99,3323.30,3281.34,3322.54,000,3322.54
2005-05-03,3298.42,3303.49,3273.43,3285.84,000,3285.84
2005-05-02,3270.22,3299.69,3270.16,3298.53,000,3298.53
2005-04-29,3231.97,3272.39,3223.68,3270.30,000,3270.30
2005-04-28,3261.52,3265.00,3231.18,3231.47,000,3231.47
2005-04-27,3246.22,3270.57,3216.48,3262.79,000,3262.79
2005-04-26,3286.37,3287.13,3246.62,3246.63,000,3246.63
2005-04-25,3258.75,3293.55,3258.75,3286.61,000,3286.61
2005-04-22,3285.01,3286.40,3233.08,3258.62,000,3258.62
2005-04-21,3211.44,3285.48,3211.44,3285.32,000,3285.32
2005-04-20,3251.60,3262.19,3210.43,3211.74,000,3211.74
2005-04-19,3221.05,3256.32,3221.05,3250.99,000,3250.99
2005-04-18,3213.65,3234.31,3196.29,3220.29,000,3220.29
2005-04-15,3272.52,3276.27,3210.93,3213.48,000,3213.48
2005-04-14,3329.15,3329.73,3271.80,3272.87,000,3272.87
2005-04-13,3376.91,3376.91,3321.75,3329.11,000,3329.11
2005-04-12,3351.07,3383.81,3321.83,3376.99,000,3376.99
2005-04-11,3341.48,3356.63,3337.75,3351.06,000,3351.06
2005-04-08,3394.31,3394.31,3340.75,3341.36,000,3341.36
2005-04-07,3377.32,3395.16,3372.04,3394.31,000,3394.31
2005-04-06,3376.50,3395.28,3374.43,3377.35,000,3377.35
2005-04-05,3363.08,3382.67,3362.59,3377.31,000,3377.31
2005-04-04,3352.59,3368.65,3339.74,3363.08,000,3363.08
2005-04-01,3373.32,3402.52,3342.01,3353.00,000,3353.00
2005-03-31,3377.43,3382.00,3366.03,3373.19,000,3373.19
2005-03-30,3329.50,3377.68,3328.94,3377.32,000,3377.32
2005-03-29,3368.93,3379.38,3325.64,3329.49,000,3329.49
2005-03-28,3362.97,3387.33,3362.97,3369.51,000,3369.51
2005-03-24,3351.71,3381.07,3351.70,3362.77,000,3362.77
2005-03-23,3365.85,3366.91,3339.81,3358.47,000,3358.47
2005-03-22,3393.11,3416.87,3363.62,3365.84,000,3365.84
2005-03-21,3404.48,3406.35,3382.23,3393.22,000,3393.22
2005-03-18,3412.02,3417.98,3384.73,3404.45,000,3404.45
2005-03-17,3401.90,3420.11,3401.13,3412.40,000,3412.40
2005-03-16,3439.88,3439.88,3394.69,3401.86,000,3401.86
2005-03-15,3463.61,3476.86,3440.40,3440.44,000,3440.44
2005-03-14,3439.88,3463.79,3439.54,3463.65,000,3463.65
2005-03-11,3452.69,3468.61,3435.96,3440.07,000,3440.07
2005-03-10,3447.02,3463.15,3425.01,3446.28,000,3446.28
2005-03-09,3485.20,3485.20,3446.67,3446.91,000,3446.91
2005-03-08,3495.23,3498.31,3482.29,3485.77,2513800,3485.77
2005-03-07,3480.01,3503.51,3480.01,3495.44,000,3495.44
2005-03-04,3432.03,3488.56,3432.01,3481.04,2960600,3481.04
2005-03-03,3423.49,3441.87,3410.15,3431.79,000,3431.79
2005-03-02,3426.13,3442.02,3408.96,3423.44,2856300,3423.44
2005-03-01,3408.53,3435.99,3408.53,3427.49,000,3427.49
2005-02-28,3423.27,3434.89,3397.01,3408.09,000,3408.09
2005-02-25,3385.48,3425.29,3383.57,3423.20,000,3423.20
2005-02-24,3347.81,3386.68,3345.74,3385.54,000,3385.54
2005-02-23,3312.61,3354.67,3312.60,3354.32,000,3354.32
2005-02-22,3381.25,3381.25,3314.07,3314.08,000,3314.08
2005-02-18,3379.76,3386.53,3370.45,3381.55,000,3381.55
2005-02-17,3398.15,3402.06,3376.37,3379.62,000,3379.62
2005-02-16,3390.24,3402.93,3377.44,3398.52,000,3398.52
2005-02-15,3380.78,3393.32,3375.61,3391.55,000,3391.55
2005-02-14,3381.56,3386.02,3374.72,3380.80,000,3380.80
2005-02-11,3361.52,3391.70,3350.39,3382.41,000,3382.41
2005-02-10,3348.10,3367.27,3348.10,3363.20,000,3363.20
2005-02-09,3369.18,3372.65,3347.12,3347.96,000,3347.96
2005-02-08,3363.55,3373.04,3359.93,3370.62,000,3370.62
2005-02-07,3365.19,3371.85,3359.40,3364.21,000,3364.21
2005-02-04,3332.61,3366.27,3332.07,3365.25,000,3365.25
2005-02-03,3336.61,3336.95,3319.48,3325.36,000,3325.36
2005-02-02,3326.56,3345.32,3326.56,3338.35,000,3338.35
2005-02-01,3311.15,3331.17,3310.86,3326.83,000,3326.83
2005-01-31,3279.67,3312.04,3279.67,3311.18,000,3311.18
2005-01-28,3290.89,3292.01,3262.29,3279.56,000,3279.56
2005-01-27,3284.18,3292.62,3268.41,3288.02,000,3288.02
2005-01-26,3265.81,3288.61,3265.81,3284.67,000,3284.67
2005-01-25,3235.93,3283.34,3235.93,3266.12,000,3266.12
2005-01-24,3239.14,3260.74,3235.80,3235.80,000,3235.80
2005-01-21,3265.15,3277.33,3237.96,3239.05,000,3239.05
2005-01-20,3289.87,3289.87,3263.28,3265.14,000,3265.14
2005-01-19,3315.09,3315.79,3288.79,3290.05,000,3290.05
2005-01-18,3292.46,3315.54,3280.63,3315.54,000,3315.54
2005-01-14,3270.33,3295.58,3270.33,3293.06,000,3293.06
2005-01-13,3297.68,3298.77,3266.39,3270.19,000,3270.19
2005-01-12,3301.22,3301.70,3265.24,3297.74,000,3297.74
2005-01-11,3318.77,3318.77,3295.58,3300.40,000,3300.40
2005-01-10,3304.06,3332.86,3299.11,3318.98,000,3318.98
2005-01-07,3318.05,3331.48,3299.34,3304.14,000,3304.14
2005-01-06,3308.29,3328.26,3307.64,3317.74,000,3317.74
2005-01-05,3326.62,3335.34,3308.87,3309.04,000,3309.04
2005-01-04,3368.70,3377.96,3322.72,3326.82,000,3326.82
2005-01-03,3395.94,3414.81,3363.86,3368.96,000,3368.96
2004-12-31,3405.08,3411.70,3395.69,3395.82,000,3395.82
2004-12-30,3408.84,3417.78,3404.54,3405.08,000,3405.08
2004-12-29,3412.31,3412.59,3401.38,3406.60,000,3406.60
2004-12-28,3380.20,3412.44,3380.01,3412.44,000,3412.44
2004-12-27,3402.11,3413.23,3380.51,3380.51,000,3380.51
2004-12-23,3401.84,3408.10,3398.66,3401.97,000,3401.97
2004-12-22,3390.46,3406.80,3388.52,3401.66,000,3401.66
2004-12-21,3354.96,3393.80,3354.96,3391.60,000,3391.60
2004-12-20,3350.96,3374.69,3350.95,3354.91,000,3354.91
2004-12-17,3353.11,3363.45,3344.07,3350.61,000,3350.61
2004-12-16,3357.51,3358.19,3339.58,3353.24,000,3353.24
2004-12-15,3349.91,3359.84,3339.44,3357.46,000,3357.46
2004-12-14,3334.37,3352.82,3331.74,3350.03,000,3350.03
2004-12-13,3298.26,3334.26,3298.09,3334.01,000,3334.01
2004-12-10,3303.98,3308.88,3288.52,3298.07,000,3298.07
2004-12-09,3297.21,3306.79,3272.09,3304.09,000,3304.09
2004-12-08,3275.58,3301.84,3275.58,3297.79,000,3297.79
2004-12-07,3308.46,3317.61,3275.93,3275.93,000,3275.93
2004-12-06,3316.37,3316.97,3300.45,3309.32,000,3309.32
2004-12-03,3314.65,3328.68,3307.60,3316.87,000,3316.87
2004-12-02,3322.97,3325.57,3302.16,3312.59,000,3312.59
2004-12-01,3282.53,3323.09,3282.18,3322.93,000,3322.93
2004-11-30,3298.07,3298.25,3283.32,3283.74,000,3283.74
2004-11-29,3310.51,3322.98,3278.77,3298.17,000,3298.17
2004-11-26,3308.62,3318.57,3306.94,3310.90,000,3310.90
2004-11-24,3294.81,3310.62,3294.81,3308.88,000,3308.88
2004-11-23,3288.94,3301.15,3273.10,3295.74,000,3295.74
2004-11-22,3261.78,3290.64,3258.24,3289.50,000,3289.50
2004-11-19,3293.71,3294.98,3257.37,3262.09,000,3262.09
2004-11-18,3288.45,3301.57,3288.17,3293.86,000,3293.86
2004-11-17,3275.77,3311.22,3275.66,3288.51,000,3288.51
